build,stage,label,status,variant,completed,total,actions,wall_seconds,comparison,evidence
Build001,01,local-public,PASS,Build001 FULL,0,,21,120.11965939996298,matched Build000 FULL 0 levels 19 actions 120.110601900029 seconds,docs/evidence/001-01-reproduction-acceptance.json
Build001,03,local-public,PASS,control,,,8,46.070333300042,exact actions and outcomes match all interventions,docs/evidence/001-03-causal-bottlenecks.json
Build001,03,local-public,PASS,allocation tracing off,,,8,8.84490280004684,37.2254304999951 seconds lower than control,docs/evidence/001-03-causal-bottlenecks.json
Build001,03,local-public,PASS,checkpoints off,,,8,37.9903721000301,8.07996120001189 seconds lower than control,docs/evidence/001-03-causal-bottlenecks.json
Build001,04,synthetic,PASS,palette equivariance,256,256,,,16/16 checkpoint pairs and 128/128 causal controls,docs/evidence/001-04-palette-equivariance.json
Build001,05,synthetic,PASS,action equivariance,128,128,,,528/528 inverse requests 64/64 controls 16/16 checkpoint pairs,docs/evidence/001-05-action-equivariance.json
Build001,06,synthetic,FAILED_MECHANISM,action rotation,32,32,2084,849.782134,shared run total 112 executions and 53980 trace events,docs/evidence/001-06-rule-change-reopening.json
Build001,06,synthetic,FAILED_MECHANISM,traversability flip gate,0,32,,,32/32 terminal wins did not satisfy typed gate,docs/evidence/001-06-rule-change-reopening.json
Build001,06,synthetic,FAILED_MECHANISM,stationary noise gate,0,32,,,32/32 terminal wins did not satisfy typed gate,docs/evidence/001-06-rule-change-reopening.json
Build001,10,synthetic,FAILED_INFRASTRUCTURE,Build001 baseline and ablation matrix,,,,,UNAVAILABLE: 1/9 suites reached an infrastructure terminal and 8 unstarted,docs/evidence/001-10-robustness-regression.json
Build000,12,synthetic,PASS,FULL,32,32,190,,historical inherited equal 16-action budgets,docs/evidence/012-controller-acceptance.json
Build000,12,synthetic,PASS,deterministic cycle,4,32,463,,historical inherited equal 16-action budgets,docs/evidence/012-controller-acceptance.json
Build000,14,synthetic,PASS,FULL,8,14,150,,historical inherited comparator only,docs/evidence/014-ablation-acceptance.json
Build000,14,synthetic,PASS,no world-model simulation,1,14,211,,historical inherited comparator only: seven lost completions,docs/evidence/014-ablation-acceptance.json
Build000,14,synthetic,PASS,no goal inference,0,14,224,,historical inherited comparator only: eight lost completions,docs/evidence/014-ablation-acceptance.json
Build000,14,synthetic,PASS,no retrodiction gate,8,14,141,,historical inherited conflict: same completion nine fewer actions,docs/evidence/014-ablation-acceptance.json
