policy,surface,games,seeds,levels_completed,actions,official_rhae,wall_seconds,peak_ram_bytes,execution_status,mechanism_status,notes,evidence
Build000 B0 random historical,local-public,12,"7;11",1,1920,NOT_MEASURED,NOT_REPORTED,NOT_REPORTED,PARTIAL,MECHANISM_NOT_OBSERVED,"Build000 Stage15 development history only; 24 runs; pinned local scorer; not matched final Build000 source",docs/evidence/015-public-development-acceptance.json
Build000 B1 cycle historical,local-public,12,"7;11",0,1920,NOT_MEASURED,NOT_REPORTED,NOT_REPORTED,PARTIAL,MECHANISM_NOT_OBSERVED,"Build000 Stage15 development history only; 24 runs; pinned local scorer",docs/evidence/015-public-development-acceptance.json
Build000 B4 FULL historical,local-public,12,"7;11",0,344,NOT_MEASURED,NOT_REPORTED,NOT_REPORTED,PARTIAL,MECHANISM_NOT_OBSERVED,"Build000 Stage15 development history only; 24/24 wall timeouts at 120-second limits; actions are before timeout",docs/evidence/015-public-development-acceptance.json
Build001 FULL reproduction,local-public,1,7,0,21,NOT_MEASURED,120.11965939996298,NOT_REPORTED,PASS,REPRODUCED_FAILURE,"local score 0.0; matched Build000 19 actions and 120.110601900029 seconds",docs/evidence/001-01-reproduction-acceptance.json
Build001 palette-role intermediate,synthetic,"256 paired cases",32,288,1728,NOT_APPLICABLE,225.4006992,54927360,PASS,OBSERVED_BOUNDED,"256/256 pairs; totals shown for base plus permuted procedural episodes; no public claim",docs/evidence/001-04-palette-equivariance.json
Build001 action-calibration intermediate,synthetic,"128 paired cases","predeclared case matrix",256,2032,NOT_APPLICABLE,238.9817805,66064384,PASS,OBSERVED_BOUNDED,"128/128 pairs; totals shown for base plus permuted procedural episodes; no public claim",docs/evidence/001-05-action-equivariance.json
Build000 B0 random matched Stage09,local-public,12,"7;11",NOT_RUN,0,NOT_MEASURED,0,NOT_MEASURED,FAILED_INFRASTRUCTURE,NOT_MEASURED,"Scheduled matched baseline; unique matrix aborted before environment open",docs/evidence/001-09-development-recovery.json
Build000 B1 cycle matched Stage09,local-public,12,"7;11",NOT_RUN,0,NOT_MEASURED,0,NOT_MEASURED,FAILED_INFRASTRUCTURE,NOT_MEASURED,"Scheduled matched baseline; unique matrix aborted before environment open",docs/evidence/001-09-development-recovery.json
Build000 B4 FULL matched Stage09,local-public,12,"7;11",NOT_RUN,0,NOT_MEASURED,0,NOT_MEASURED,FAILED_INFRASTRUCTURE,NOT_MEASURED,"Scheduled matched baseline; unique matrix aborted before environment open",docs/evidence/001-09-development-recovery.json
Build001 B4 FULL final Stage09,local-public,12,"7;11",NOT_RUN,0,NOT_MEASURED,0,NOT_MEASURED,FAILED_INFRASTRUCTURE,NOT_MEASURED,"Final production policy; one identity exposed; environment opens 0; gameplay actions 0; 95/96 cells unstarted",docs/evidence/001-09-development-recovery.json
Build001 FULL Stage10,synthetic,"frozen benchmark matrix","frozen",NOT_RUN,0,NOT_MEASURED,0,NOT_MEASURED,FAILED_INFRASTRUCTURE,NOT_MEASURED,"Baseline and ablation result unavailable; first of nine suites reached an infrastructure terminal and eight were unstarted",docs/evidence/001-10-robustness-regression.json
